,question,answer,category,table_id
0,How old was Jenson Button when he achieved his best finish in the 2018 Super GT GT500 Championship?,38,f1,0
1,What was Jenson Button's age when he won the Super GT GT500 Championship?,38,f1,0
2,How many years did it take Jenson Button to win his second championship?,9,f1,0
3,Where did Jenson Button compete 5 years before his Super GT GT500 Championship debut?,Brazil,f1,0
4,For how many years did Jenson Button's professional career last?,17,f1,0
5,How old was Jenson Button when he began his professional career?,20,f1,0
6,Which country did Jenson Button participate in the Formula One World Championship starting in 2000?,England,f1,0
7,What year did Jenson Button first participate in the Australian Grand Prix?,2000,f1,0
8,How many years ago did Jenson Button last win the Brazilian Grand Prix in the Formula One World Championship?,10,f1,0
9,What time is it in Florida if it's 8:40 in the Atlantic Time Zone?,7:40,time zone,33
10,Which time zone is shown in the table?,Atlantic,time zone,33
11,What time is it in the Atlantic Time Zone if it's 10:00 in California?,2:00,time zone,33
12,What is the time difference in hours between the Atlantic Time Zone and Florida?,1,time zone,33
13,"What was the current time on June 28, 2022, according to AST?",8:40 a.m.,time zone,33
14,What is the time difference in hours between AST and ADT?,1,time zone,33
15,How many UTC offsets are shown?,2,time zone,34
16,What time zone is specified in the table?,Mountain,time zone,34
17,What is the time difference in hours between MST and MDT?,1,time zone,34
18,What is the time difference in hours between Florida and Colorado?,2,time zone,34
19,How many different time zones are there in the US?,6,time zone,34
20,"If it's 4 p.m. in Los Angeles, California, what time is it in Chicago, Illinois?",6 p.m.,time zone,34
21,What is the time difference in hours between NST and NDT?,1,time zone,35
22,How many hours is NDT behind Coordinated Universal Time (UTC)?,2.5,time zone,35
23,What is the current time in the Newfoundland Time Zone?,11:26 p.m.,time zone,35
24,For which senior year team did Pau Quemada start playing in the year he won the bronze medal at the World Cup?,Leuven,hockey,41
25,"Where did the 2009 World Cup, where Pau Quemada won a bronze medal, take place?",Mönchengladbach,hockey,41
26,How many years has Pau Quemada been playing in his senior career?,17,hockey,41
27,What is the most recent team that Pau Quemada has been associated with?,Leuven,hockey,41
28,"Since 2005, which team has Pau Quemada been associated with the longest in the senior division?",Leuven,hockey,41
29,How many years did Pau Quemada play in the senior division?,16,hockey,41
30,How many years separate Pau Quemada's start at Leuven from the beginning of his current team membership?,15,hockey,41
31,How much longer in years did Pau Quemada play for Club Egara than for Laren?,4,hockey,41
32,How many years did Pau Quemada play for Real Club de Polo?,2,hockey,41
33,How many years are there between Rubens Barrichello's first and last win in Formula One?,9,f1,51
34,How many years are there between Barrichello's best finish in his Stock Car Brasil career and his best finish in his IndyCar Series career?,2,f1,51
35,How old was Barrichello when his Formula One career began?,21,f1,51
36,Which race did Barrichello win 7 years after his Formula One career began?,German Grand Prix,f1,51
37,What year did Rubens Barrichello have his best finish in his Stock Car Brasil career?,2014,f1,51
38,How old was Rubens Barrichello when he won his last Grand Prix?,37,f1,51
39,How many years was Rubens Barrichello active in his career?,18,f1,51
40,How many years did it take for Rubens Barrichello to get his first win in Formula One?,7,f1,51
41,How many years are there between Barrichello's last win and his last entry into a Grand Prix for Formula One?,2,f1,51
42,How long in years did Kapil Dev play ODI cricket?,16,cricket,52
43,How much longer did Kapil Dev play for Haryana than for Worcestershire?,6,cricket,52
44,How many days were between Dev's Test debut and his ODI debut?,15,cricket,52
45,How many years before Kapil Dev's last ODI did he start playing for Worcestershire?,10,cricket,52
46,What was the first team Kapil Dev was associated with?,Haryana,cricket,52
47,With which team was Kapil Dev associated for the longest amount of time?,Haryana,cricket,52
48,What domestic team was Kapil Dev associated with most recently?,Haryana,cricket,52
49,For which domestic team was Kapil Dev playing in 1982?,Northamptonshire,cricket,52
50,Who was the captain of the Indian cricket test team in 1980?,Kapil Dev,cricket,52
51,How many times did Madan Lal take 5 wickets in an innings in Test and ODI matches?,4,cricket,53
52,How many more years did Madan Lal spend at Delhi than in Punjab?,14,cricket,53
53,What domestic team was Madan Lal associated with when he made his Test debut?,Delhi,cricket,53
54,What was the first team associated with Madan Lal?,Punjab,cricket,53
55,How many more years did Lal play for Delhi than for Punjab?,4,cricket,53
56,How many years are between Madan Lal's last Test and his ODI debut?,12,cricket,53
57,What domestic team did Madan Lal play for during his Test debut?,Punjab,cricket,53
58,What team was Madan Lal associated with most recently?,Delhi,cricket,53
59,How many days after the anniversary of Madan Lal's first Test did he play his last Test?,13,cricket,53
60,"In addition to KwaZulu-Natal, which professional team did Shaun Pollock represent in 2000?",Warwickshire,cricket,54
61,How old was Shaun Pollock when he made his ODI debut in 1996?,23,cricket,54
62,What was the second team that Shaun Pollock played for?,Warwickshire,cricket,54
63,What was the last team that Shaun Pollock played for?,Durham,cricket,54
64,Over how many years did Shaun Pollock play for the Dolphins?,2,cricket,54
65,What team did Pollock play for during the year of his T20I debut?,Dolphins,cricket,54
66,How much longer in years did Pollock play for KwaZulu-Natal than for Warwickshire?,5,cricket,54
67,How old was Pollock during his Test debut?,22,cricket,54
68,How many years ago did Shaun Pollock play his last T20I?,14,cricket,54
69,How many months were between Waqar Younis's last Test and his last ODI?,2,cricket,55
70,Which domestic team did Waqar Younis play for in 2002?,National Bank of Pakistan,cricket,55
71,How many years ago did Waqar Younis play his last ODI?,19,cricket,55
72,How many total wickets did Waqar Younis take in his career from 1987 to 2003?,2420,cricket,55
73,How many years after Younis played for Allied Bank Limited was the picture taken?,11,cricket,55
74,How many domestic teams did Waqar Younis play for in 1999?,2,cricket,55
75,"One year after beginning his domestic team career, where did Waqar Younis play domestically?",Multan,cricket,55
76,What was the last team Waqar Younis played for before the turn of the millennium?,REDCO Pakistan Limited,cricket,55
77,How many more years did Younis play for Surrey than for Glamorgan?,2,cricket,55
78,How old was Sanath Jayasuriya when he made his Test debut in 1991?,22,cricket,56
79,How many total matches did Sanath Jayasuriya play in all formats?,931,cricket,56
80,How long in years did Sanath Jayasuriya play for his national team?,22,cricket,56
81,What was the third team that Sanath Jayasuriya played for?,Lancashire,cricket,56
82,What was the first team that Sanath Jayasuriya played for?,Bloomfield,cricket,56
83,For how many years did Sanath Jayasuriya play for Bloomfield?,17,cricket,56
84,How many years after his first year with Bloomfield did Jayasuriya play for the Khulna Royal Bengals?,18,cricket,56
85,What team did Jayasuriya play for during the year of his last Test?,Lancashire,cricket,56
86,How old was Jayasuriya when he started playing for Bloomfield?,25,cricket,56
87,How many more years did Richards play for the Leeward Islands than for Glamorgan?,17,cricket,57
88,Which domestic team did Viv Richards play for in 1980?,Somerset,cricket,57
89,How many years did Viv Richards play for the West Indies?,17,cricket,57
90,How many years ago did Viv Richards make his ODI debut?,47,cricket,57
91,When did Viv Richards start playing domestically?,1971,cricket,57
92,What was the last team that Viv Richards was associated with domestically?,Glamorgan,cricket,57
93,For how many years did Viv Richards play domestically?,22,cricket,57
94,How many years passed between Richard's ODI debut and his last year playing for Somerset?,11,cricket,57
