,question,answer,category,table_id
0,How many years did Art Carney work as an actor starting from 1939?,54,actor,2
1,Who was the spouse of Art Carney in 1970?,Barbara Isaac,actor,2
2,How many total years was Art Carney married to Jean Myers?,28,actor,2
3,Which spouse was Art Carney married to for the shortest time?,Barbara Isaac,actor,2
4,Who was Art Carney married to when he served in the US Army?,Jean Myers,actor,2
5,How many years before he died did Art Carney last get married?,23,actor,2
6,Who was Art Carney married to while he served in the military?,Jean Myers,actor,2
7,How old was Art Carney when he first got divorced?,47,actor,2
8,How many years ago did Art Carney die?,19,actor,2
9,For how many years had Benedict Cumberbatch been acting when he got married?,17,actor,3
10,How many years prior to Cumberbatch turning 45 was the picture taken?,2,actor,3
11,How long after Cumberbatch started his career did he marry Sophie Hunter​?,17,actor,3
12,How old was Cumberbatch when his career began?,22,actor,3
13,How old was Benedict Cumberbatch when he started acting?,22,actor,3
14,How many years has Benedict Cumberbatch been acting?,24,actor,3
15,For how many years has Benedict Cumberbatch been married?,7,actor,3
16,Who did Benedict Cumberbatch marry in 2015?,Sophie Hunter,actor,3
17,How old was Benedict Cumberbatch when he began acting?,22,actor,3
18,How many different personas has professional wrestler Dwayne Johnson used in the sport?,4,wrestling,7
19,Over how many years was Dwayne Johnson an active wrestler?,13,wrestling,7
20,When was the last year that Dwayne Johnson competed in the ring professionally?,2019,wrestling,7
21,Who did Dwayne Johnson marry in 1997?,Dany Garcia,wrestling,7
22,How old was Dwayne Johnson when he began his wrestling career?,24,wrestling,7
23,How old was Dwayne Johnson when he made his acting debut?,27,wrestling,7
24,Who was the spouse of Dwayne Johnson in 2000?,Dany Garcia,wrestling,7
25,How many years after Dwayne Johnson's wrestling debut was his retirement?,23,wrestling,7
26,How many years after his debut did he retire?,23,wrestling,7
27,How many years was Joan Crawford active?,50,actor,8
28,How many years did Joan Crawford and Franchot Tone live together?,4,actor,8
29,How many times was Joan Crawford married?,4,actor,8
30,How many years was Joan Crawford active?,50,actor,8
31,Did Joan Crawford have more children or brothers?,children,actor,8
32,How many years was Joan Crawford's career active?,50,actor,8
33,Who was Joan Crawford's spouse in 1937?,Franchot Tone,actor,8
34,How many years were Joan Crawford and Alfred Steele married?,4,actor,8
35,How long in years did each of Joan Crawford's marriages last?,4,actor,8
